##name Persian
##ownname فارسی
##isocode fa_IR
##winlangid 0x0429
##grflangid 0x62
##plural 0
##textdir rtl
##digitsep ٬
##digitsepcur ٬

#

##id 0x0000
STR_ERROR_OFF_EDGE_OF_MAP                                       :{WHITE}خارج از نقشه
STR_SAVELOAD_SAVE_CAPTION                                       :{WHITE}ذخیره ی بازی
STR_SAVELOAD_LOAD_CAPTION                                       :{WHITE}ادامه ی بازی
STR_SAVELOAD_SAVE_BUTTON                                        :{BLACK}ذخیره
STR_SAVELOAD_DELETE_BUTTON                                      :{BLACK}حذف
STR_ERROR_UNABLE_TO_READ_DRIVE                                  :{BLACK}درایو خوانده می شود
STR_ERROR_GAME_SAVE_FAILED                                      :{WHITE}بازی ذخیره نشد{}{STRING}
STR_ERROR_UNABLE_TO_DELETE_FILE                                 :{WHITE}فایل حذف نمی شود
STR_ERROR_GAME_LOAD_FAILED                                      :{WHITE}بازی بارگزاری نشد{}{STRING}
STR_SAVELOAD_LIST_TOOLTIP                                       :{BLACK}لیست درایو ها، پوشه ها و بازی های ذخیره شده

##id 0x4800
STR_INDUSTRY_VIEW_CAPTION                                       :{WHITE}{INDUSTRY}
STR_INDUSTRY_NAME_COAL_MINE                                     :معدن ذغال
STR_INDUSTRY_NAME_POWER_STATION                                 :نیروگاه
STR_INDUSTRY_NAME_SAWMILL                                       :چوب بری
STR_INDUSTRY_NAME_FOREST                                        :جنگل
STR_INDUSTRY_NAME_OIL_REFINERY                                  :پالایشگاه
STR_INDUSTRY_NAME_OIL_RIG                                       :سکوی نفت
STR_INDUSTRY_NAME_FACTORY                                       :کارخانه
STR_INDUSTRY_NAME_PRINTING_WORKS                                :چاپخانه
STR_INDUSTRY_NAME_STEEL_MILL                                    :فولاد سازی
STR_INDUSTRY_NAME_FARM                                          :مزرعه
STR_INDUSTRY_NAME_COPPER_ORE_MINE                               :معدن سنگ مس
STR_INDUSTRY_NAME_OIL_WELLS                                     :چاه نفت
STR_INDUSTRY_NAME_BANK                                          :بانک
STR_INDUSTRY_NAME_PAPER_MILL                                    :کاغذ سازی
STR_INDUSTRY_NAME_GOLD_MINE                                     :معدن طلا
STR_INDUSTRY_NAME_BANK_TROPIC_ARCTIC                            :بانک
STR_INDUSTRY_NAME_DIAMOND_MINE                                  :معدن الماس
STR_INDUSTRY_NAME_IRON_ORE_MINE                                 :معدن سنگ آهن
STR_INDUSTRY_NAME_FRUIT_PLANTATION                              :باغ میوه
STR_INDUSTRY_NAME_WATER_SUPPLY                                  :منبع آب
STR_INDUSTRY_NAME_WATER_TOWER                                   :برج آب
STR_INDUSTRY_NAME_FACTORY_2                                     :کارخانه
STR_INDUSTRY_NAME_FARM_2                                        :مزرعه
STR_INDUSTRY_NAME_LUMBER_MILL                                   :چوب بری
STR_INDUSTRY_NAME_COTTON_CANDY_FOREST                           :جنگل پشمک
STR_INDUSTRY_NAME_CANDY_FACTORY                                 :کارخانه شیرینی جات
STR_INDUSTRY_NAME_BATTERY_FARM                                  :مزرعه باتری
STR_INDUSTRY_NAME_COLA_WELLS                                    :چاه های نوشابه
STR_INDUSTRY_NAME_TOY_SHOP                                      :اسباب بازی فروشی
STR_INDUSTRY_NAME_TOY_FACTORY                                   :کارخانه اسباب بازی
STR_INDUSTRY_NAME_PLASTIC_FOUNTAINS                             :چشمه ی پلاستک
STR_INDUSTRY_NAME_FIZZY_DRINK_FACTORY                           :کارخانه نوشابه گاز دار
STR_INDUSTRY_NAME_BUBBLE_GENERATOR                              :مولد حباب
STR_INDUSTRY_NAME_SUGAR_MINE                                    :معدن شکر

############ range for requires starts
STR_INDUSTRY_VIEW_REQUIRES_CARGO                                :{BLACK}مواد اولیه: {YELLOW}{STRING}{STRING}
STR_INDUSTRY_VIEW_REQUIRES_CARGO_CARGO                          :{BLACK}مواد اولیه: {YELLOW}{STRING}{STRING}, {STRING}{STRING}
STR_INDUSTRY_VIEW_REQUIRES_CARGO_CARGO_CARGO                    :{BLACK}مواد اولیه: {YELLOW}{STRING}{STRING}, {STRING}{STRING}, {STRING}{STRING}
############ range for requires ends

############ range for produces starts
STR_INDUSTRY_VIEW_PRODUCES_CARGO                                :{BLACK}محصولات: {YELLOW}{STRING}{STRING}
STR_INDUSTRY_VIEW_PRODUCES_CARGO_CARGO                          :{BLACK}محصولات: {YELLOW}{STRING}{STRING}, {STRING}{STRING}
############ range for produces ends

STR_INDUSTRY_VIEW_PRODUCTION_LAST_MONTH_TITLE                   :{BLACK}تولید در ماه گذشته:
STR_INDUSTRY_VIEW_TRANSPORTED                                   :{YELLOW}{CARGO}{STRING}{BLACK} ({COMMA}% منتقل شد)
STR_INDUSTRY_VIEW_LOCATION_TOOLTIP                              :{BLACK}مرکز تصویر را روی کارخانه قرار بده
STR_NEWS_INDUSTRY_CONSTRUCTION                                  :{BLACK}{BIGFONT} {STRING} جدیدی در مجاورت {TOWN} در حال ساخت است!
STR_NEWS_INDUSTRY_PLANTED                                       :{BLACK}{BIGFONT} {STRING} جدیدی در مجاورت {TOWN} در حال کاشته شدن است!
STR_INDUSTRY_BUILD_COST                                         :{BLACK}خرج: {YELLOW}{CURRENCY}
STR_ERROR_CAN_T_CONSTRUCT_THIS_INDUSTRY                         :{WHITE}این نوع کاخانه را در اینجا نمی شود ساخت...
STR_ERROR_FOREST_CAN_ONLY_BE_PLANTED                            :{WHITE}...جنگل باید بالای خط برف کاشته شود
STR_NEWS_INDUSTRY_CLOSURE_GENERAL                               :{BLACK}{BIGFONT}{STRING} تعطیلی فوری خود را اعلام کرد!
STR_NEWS_INDUSTRY_CLOSURE_SUPPLY_PROBLEMS                       :{BLACK}{BIGFONT}مشکلات مالی باعث شد {STRING} تعطیلی فوری خود را اعلام کند!
STR_NEWS_INDUSTRY_CLOSURE_LACK_OF_TREES                         :{BLACK}{BIGFONT}کمبود درختان مجاور {STRING} باعث شد که تعطیلی فوری خود را اعلام کننند!
STR_NEWS_INDUSTRY_PRODUCTION_INCREASE_GENERAL                   :{BLACK}{BIGFONT}{INDUSTRY} افزایش تولید داشت!
STR_NEWS_INDUSTRY_PRODUCTION_INCREASE_COAL                      :{BLACK}{BIGFONT}رگه ی جدیدی از زغال در {INDUSTRY} پیدا شده!{}تولید این معدن دو برابر شد!
STR_NEWS_INDUSTRY_PRODUCTION_INCREASE_OIL                       :{BLACK}{BIGFONT}مخزن جدیدی از نفت در مجاورت {INDUSTRY}پیدا شده!{}در نتیجه تولید خود را دو برابر کردند!
STR_NEWS_INDUSTRY_PRODUCTION_INCREASE_FARM                      :{BLACK}{BIGFONT}پیشرفت روش مزرعه داری در {INDUSTRY} باعث شد تولید این مزرعه دو برابر شود!
STR_NEWS_INDUSTRY_PRODUCTION_DECREASE_GENERAL                   :{BLACK}{BIGFONT}تولید {INDUSTRY} 50% کاهش یافت
STR_ERROR_CAN_ONLY_BE_POSITIONED                                :{WHITE}...فقط در حاشیه ی نقشه ساخته می شود

##id 0x5000
STR_ERROR_MUST_DEMOLISH_TUNNEL_FIRST                            :{WHITE}اول باید تونل خراب شود
STR_ERROR_MUST_DEMOLISH_BRIDGE_FIRST                            :{WHITE}اول باید پل خراب شود
STR_ERROR_CANNOT_START_AND_END_ON                               :{WHITE} محل شروع و پایاننمی توانند در یک نقطه باشند
STR_ERROR_START_AND_END_MUST_BE_IN                              :{WHITE}محل شروع پایان باید در یک خط باشند
STR_ERROR_SITE_UNSUITABLE_FOR_TUNNEL                            :{WHITE}محل برای شروع تونل نا مناسب است
STR_BUILD_BRIDGE_INFO                                           :{GOLD}{STRING},{} {VELOCITY} {WHITE}{CURRENCY}
STR_BRIDGE_NAME_WOODEN                                          :چوبی
STR_BRIDGE_NAME_TUBULAR_STEEL                                   :لوله ای،فولادی
STR_ERROR_CAN_T_BUILD_BRIDGE_HERE                               :{WHITE} اینجا نمی شود پل ساخت
STR_ERROR_CAN_T_BUILD_TUNNEL_HERE                               :{WHITE} اینجا نمی شود تونل ساخت
STR_TUNNEL_DESCRIPTION_RAILROAD                                 :تونل راه آهن
STR_TUNNEL_DESCRIPTION_ROAD                                     :تونل ماشین رو
STR_BRIDGE_DESCRIPTION_RAIL_WOODEN                              :پل راه آهن چوبی
STR_BRIDGE_DESCRIPTION_ROAD_WOODEN                              :پل ماشین رو چوبی
STR_BRIDGE_DESCRIPTION_RAIL_TUBULAR_STEEL                       :پل لوله ای راه آهن
STR_BRIDGE_DESCRIPTION_ROAD_TUBULAR_STEEL                       :پل جاده ای لوله ای

##id 0x5800
STR_ERROR_OBJECT_IN_THE_WAY                                     :{WHITE}چیزی در مسیر قرار گرفته
STR_UNMOVABLE_DESCRIPTION_LIGHTHOUSE                            :فانوس دریایی
STR_UNMOVABLE_DESCRIPTION_COMPANY_HEADQUARTERS                  :ساختمان اصلی شرکت
STR_ERROR_COMPANY_HEADQUARTERS_IN                               :{WHITE}ساختمان اصلی شرکت در مسیر قرار گرفته است
STR_UNMOVABLE_DESCRIPTION_COMPANY_OWNED_LAND                    :زمین خریداری شده
STR_ERROR_CAN_T_PURCHASE_THIS_LAND                              :{WHITE}نمی توان این ناحیه را خرید
STR_ERROR_YOU_ALREADY_OWN_IT                                    :{WHITE} قبلا توسط شرکت خریداری شده


############ WARNING, using range 0x6000 for strings that are stored in the savegame
############ These strings may never get a new id, or savegames will break!
##id 0x6000


############ end of savegame specific region!

##id 0x6800
STR_DIFFICULTY_LEVEL_CAPTION                                    :{WHITE}سطح سختی

############ range for difficulty levels starts
STR_DIFFICULTY_LEVEL_EASY                                       :{BLACK}ساده
STR_DIFFICULTY_LEVEL_MEDIUM                                     :{BLACK}متوسط
STR_DIFFICULTY_LEVEL_HARD                                       :{BLACK}سخت
STR_DIFFICULTY_LEVEL_CUSTOM                                     :{BLACK}انتخابی
############ range for difficulty levels ends

############ range for difficulty settings starts
STR_DIFFICULTY_LEVEL_SETTING_MAXIMUM_NO_COMPETITORS             :{LTBLUE}حد اکثر تعداد رقبا :{ORANGE}{COMMA}
STR_DIFFICULTY_LEVEL_SETTING_NO_OF_TOWNS                        :{LTBLUE}تعداد شهر ها: {ORANGE}{STRING}
STR_DIFFICULTY_LEVEL_SETTING_NO_OF_INDUSTRIES                   :{LTBLUE}تعداد کارخانه ها: {ORANGE}{STRING}
STR_DIFFICULTY_LEVEL_SETTING_MAXIMUM_INITIAL_LOAN_000           :{LTBLUE}حد اکثر وام اولیه: {ORANGE}{CURRENCY}
############ range for difficulty settings ends

STR_NUM_CUSTOM                                                  :انتخابی

##id 0x7000
STR_AIRCRAFT                                                    :{WHITE}{COMMA} هواپیما
STR_GRAPH_CARGO_PAYMENT_RATES_CAPTION                           :{WHITE}مبلغ پرداختی محموله ها
STR_GRAPH_CARGO_PAYMENT_RATES_X_LABEL                           :{BLACK}{TINYFONT}روز های گذشته در حمل
STR_GRAPH_CARGO_PAYMENT_RATES_TITLE                             :{BLACK}{TINYFONT}مبلغ پرداختی برای 10 واحد (یا 10000لیتر) به ازای 20 مربع
STR_GRAPH_CARGO_PAYMENT_TOGGLE_CARGO                            :{BLACK}روشن/خاموش کردن نمودار برای نوع محموله
STR_GRAPH_CARGO_PAYMENT_CARGO                                   :{BLACK}{TINYFONT}{STRING}
STR_COMPANY_LEAGUE_PERFORMANCE_TITLE_ENGINEER                   :مهندس
STR_COMPANY_LEAGUE_PERFORMANCE_TITLE_TRAFFIC_MANAGER            :مدیر ترافیکی
STR_COMPANY_LEAGUE_PERFORMANCE_TITLE_TRANSPORT_COORDINATOR      :رئیس حمل و نقل
STR_COMPANY_LEAGUE_PERFORMANCE_TITLE_ROUTE_SUPERVISOR           :مشاور جاده ها
STR_COMPANY_LEAGUE_PERFORMANCE_TITLE_DIRECTOR                   :رئیس کل
STR_COMPANY_LEAGUE_PERFORMANCE_TITLE_CHIEF_EXECUTIVE            :مشاور وزیر
STR_COMPANY_LEAGUE_PERFORMANCE_TITLE_CHAIRMAN                   :وزیر ترابری
STR_COMPANY_LEAGUE_PERFORMANCE_TITLE_PRESIDENT                  :رئیس جمهور
STR_COMPANY_LEAGUE_PERFORMANCE_TITLE_TYCOON                     :ترک اصیل!
STR_COMPANY_VIEW_BUILD_HQ_BUTTON                                :{BLACK}ساخت ساختمان مرکزی
STR_COMPANY_VIEW_BUILD_HQ_TOOLTIP                               :{BLACK}ساخت / دیدن ساختمان مرکزی
STR_ERROR_CAN_T_BUILD_COMPANY_HEADQUARTERS                      :{WHITE}ساختمان مرکزی را نمی شود اینجا ساخت ...
STR_COMPANY_VIEW_VIEW_HQ_BUTTON                                 :{BLACK}دیدن ساختمان مرکزی
STR_TOGGLE_LARGE_SMALL_WINDOW                                   :{BLACK}تغییر دادن اندازه ی صفحه
STR_COMPANY_VIEW_COMPANY_VALUE                                  :{GOLD}ارزش شرکت: {WHITE}{CURRENCY}
STR_COMPANY_VIEW_BUY_SHARE_BUTTON                               :{BLACK}25% سهام شرکت را بخر
STR_COMPANY_VIEW_SELL_SHARE_BUTTON                              :{BLACK}25% سهام شرکت را بفروش
STR_COMPANY_VIEW_BUY_SHARE_TOOLTIP                              :{BLACK}25% سهام این شرکت را بخر
STR_COMPANY_VIEW_SELL_SHARE_TOOLTIP                             :{BLACK}25% سهام این شرکت را بفروش
STR_ERROR_CAN_T_BUY_25_SHARE_IN_THIS                            :{WHITE}نمی شود 25% سهام این شرکت را خرید
STR_ERROR_CAN_T_SELL_25_SHARE_IN                                :{WHITE}نمی شود 25% سهام این شرکت را فروخت
STR_COMPANY_VIEW_SHARES_OWNED_BY                                :{WHITE}({COMMA}% توسط {COMPANY} خریداری شده)
STR_NEWS_MERGER_TAKEOVER_TITLE                                  :{BLACK}{BIGFONT}{STRING} توسط {STRING} خریداری شد!



##id 0x8000
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_KIRBY_PAUL_TANK_STEAM        :Kirby Paul Tank (بخار)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_MJS_250_DIESEL               :MJS 250 (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_PLODDYPHUT_CHOO_CHOO         :Ploddyphut Choo-Choo
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_POWERNAUT_CHOO_CHOO          :Powernaut Choo-Choo
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_MIGHTYMOVER_CHOO_CHOO        :Mightymover Choo-Choo
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_PLODDYPHUT_DIESEL            :Ploddyphut Diesel
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_POWERNAUT_DIESEL             :Powernaut دیزل
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_WILLS_2_8_0_STEAM            :Wills 2-8-0 (بخار)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_CHANEY_JUBILEE_STEAM         :Chaney 'Jubilee' (بخار)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_GINZU_A4_STEAM               :Ginzu 'A4' (بخار)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_SH_8P_STEAM                  :SH '8P' (بخار)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_MANLEY_MOREL_DMU_DIESEL      :Manley-Morel DMU (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_DASH_DIESEL                  :'Dash' (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_SH_HENDRY_25_DIESEL          :SH/Hendry '25' (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_UU_37_DIESEL                 :UU '37' (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_FLOSS_47_DIESEL              :Floss '47' (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_CS_4000_DIESEL               :CS 4000 (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_CS_2400_DIESEL               :CS 2400 (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_CENTENNIAL_DIESEL            :Centennial (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_KELLING_3100_DIESEL          :Kelling 3100 (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_TURNER_TURBO_DIESEL          :Turner Turbo (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_MJS_1000_DIESEL              :MJS 1000 (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_SH_125_DIESEL                :SH '125' (دیزل)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_SH_30_ELECTRIC               :SH '30' (برقی)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_SH_40_ELECTRIC               :SH '40' (برقی)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_T_I_M_ELECTRIC               :'T.I.M.' (برقی)
STR_VEHICLE_NAME_TRAIN_ENGINE_RAIL_ASIASTAR_ELECTRIC            :'AsiaStar' (برقی)
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_PASSENGER_CAR                 :واگن مسافربر
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_MAIL_VAN                      :واگن نامه
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_COAL_CAR                      :واگن ذغال
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_OIL_TANKER                    :تانکر نفت
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_LIVESTOCK_VAN                 :واگن فرآورده های حیوانی
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_GOODS_VAN                     :واگن محصولات
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_GRAIN_HOPPER                  :واگن حمل حبوبات
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_WOOD_TRUCK                    :واگن چوب بری
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_IRON_ORE_HOPPER               :واگن سنگ آهن
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_STEEL_TRUCK                   :واگن فولاد
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_ARMORED_VAN                   :واگن حفاظت شده
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_FOOD_VAN                      :واگن مواد غذایی
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_PAPER_TRUCK                   :واگن کاغذ
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_COPPER_ORE_HOPPER             :واگن سنگ مس
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_WATER_TANKER                  :تانکر آب
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_FRUIT_TRUCK                   :واگن حمل میوه
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_SUGAR_TRUCK                   :واگن حمل شکر
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_COTTON_CANDY_HOPPER           :واگن حمل پشمک
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_TOFFEE_HOPPER                 :واگن حمل تافی
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_BUBBLE_VAN                    :واگن حباب بری
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_COLA_TANKER                   :تانکر نوشابه
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_CANDY_VAN                     :تانکر شیرینی جات
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_TOY_VAN                       :واگن اسباب بازی
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_BATTERY_TRUCK                 :واگن باتری
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_FIZZY_DRINK_TRUCK             :تانکر نوشابه گازدار
STR_VEHICLE_NAME_TRAIN_WAGON_RAIL_PLASTIC_TRUCK                 :واگن پلاستیک بری
STR_VEHICLE_NAME_TRAIN_ENGINE_MONORAIL_X2001_ELECTRIC           :'X2001' (برقی)
STR_VEHICLE_NAME_TRAIN_ENGINE_MONORAIL_MILLENNIUM_Z1_ELECTRIC   :'Millennium Z1' (برقی)
STR_VEHICLE_NAME_TRAIN_ENGINE_MONORAIL_WIZZOWOW_Z99             :Wizzowow Z99
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_PASSENGER_CAR             :واگن مسافربر
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_MAIL_VAN                  :واگن نامه بر
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_COAL_CAR                  :واگن حمل ذغال
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_OIL_TANKER                :تانکر نفت
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_LIVESTOCK_VAN             :واگن حمل محصولات حیوانی
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_GOODS_VAN                 :واگن محصولات
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_GRAIN_HOPPER              :واگن حمل حبوبات
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_WOOD_TRUCK                :واگن چوب بری
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_IRON_ORE_HOPPER           :واگن سنگ آهن
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_STEEL_TRUCK               :واگن فولاد
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_ARMORED_VAN               :واگن حفاظت شده
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_FOOD_VAN                  :واگن حمل مواد غذایی
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_PAPER_TRUCK               :وان کاغذ بری
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_COPPER_ORE_HOPPER         :واگن سنگ مس
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_WATER_TANKER              :تانکر آب
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_FRUIT_TRUCK               :واگن حمل میوه
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_SUGAR_TRUCK               :واگن شکر
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_COTTON_CANDY_HOPPER       :واگن حمل پشمک
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_TOFFEE_HOPPER             :واگن حمل تافی
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_BUBBLE_VAN                :واگن حباب بری
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_COLA_TANKER               :تانکر نوشابه
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_CANDY_VAN                 :واگن شیرینی جات
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_TOY_VAN                   :واگن اسباب بازی
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_BATTERY_TRUCK             :واگن حمل باتری
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_FIZZY_DRINK_TRUCK         :تانکر نوشابه گازدار
STR_VEHICLE_NAME_TRAIN_WAGON_MONORAIL_PLASTIC_TRUCK             :واگن حمل پلاستیک
STR_VEHICLE_NAME_TRAIN_ENGINE_MAGLEV_LEV1_LEVIATHAN_ELECTRIC    :Lev1 'Leviathan' (Electric)
STR_VEHICLE_NAME_TRAIN_ENGINE_MAGLEV_LEV2_CYCLOPS_ELECTRIC      :Lev2 'Cyclops' (برقی)
STR_VEHICLE_NAME_TRAIN_ENGINE_MAGLEV_LEV3_PEGASUS_ELECTRIC      :Lev3 'Pegasus' (برقی)
STR_VEHICLE_NAME_TRAIN_ENGINE_MAGLEV_LEV4_CHIMAERA_ELECTRIC     :Lev4 'Chimaera' (برقی)
STR_VEHICLE_NAME_TRAIN_ENGINE_MAGLEV_WIZZOWOW_ROCKETEER         :Wizzowow Rocketeer
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_PASSENGER_CAR               :واگن مسافر بری
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_MAIL_VAN                    :واگن حمل نامه
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_COAL_CAR                    :واگن ذغال سنگ
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_OIL_TANKER                  :تانکر نفت
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_LIVESTOCK_VAN               :واگن حمل محصولات حیوانی
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_GOODS_VAN                   :واگن محصولات
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_GRAIN_HOPPER                :واگن حمل حبوبات
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_WOOD_TRUCK                  :واگن چوب بری
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_IRON_ORE_HOPPER             :واگن سنگ آهن
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_STEEL_TRUCK                 :واگن فولاد
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_ARMORED_VAN                 :واگن محفاظت شده
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_FOOD_VAN                    :واگن مواد غذایی
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_PAPER_TRUCK                 :واگن کاغذ بری
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_COPPER_ORE_HOPPER           :واگن حمل سنگ مس
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_WATER_TANKER                :تانکر آب
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_FRUIT_TRUCK                 :واگن میوه
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_RUBBER_TRUCK                :واگن کائوچو
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_SUGAR_TRUCK                 :واگن شکر
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_COTTON_CANDY_HOPPER         :واگن حمل پشمک
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_TOFFEE_HOPPER               :واگن حمل تافی
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_BUBBLE_VAN                  :واگن حباب
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_COLA_TANKER                 :تانکر نوشابه
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_TOY_VAN                     :واگن اسباب بازی
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_BATTERY_TRUCK               :کامیون حمل باتری
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_FIZZY_DRINK_TRUCK           :کامیون نوشابه گازدار
STR_VEHICLE_NAME_TRAIN_WAGON_MAGLEV_PLASTIC_TRUCK               :کامیون حمل پلاستیک
STR_VEHICLE_NAME_ROAD_MPS_REGAL_BUS                             :اتوبوس شاهی MPS
STR_VEHICLE_NAME_ROAD_HEREFORD_LEOPARD_BUS                      :اتوبوس Hereford Leopard
STR_VEHICLE_NAME_ROAD_FOSTER_BUS                                :اتوبوس Foster
STR_VEHICLE_NAME_ROAD_FOSTER_MKII_SUPERBUS                      :اتوبوس ویژه Foster MkII
STR_VEHICLE_NAME_ROAD_PLODDYPHUT_MKI_BUS                        :اتوبوس Ploddyphut MkI
STR_VEHICLE_NAME_ROAD_PLODDYPHUT_MKII_BUS                       :اتوبوس Plodyphut MkII
STR_VEHICLE_NAME_ROAD_PLODDYPHUT_MKIII_BUS                      :اتوبوس Plodyphut MkII
STR_VEHICLE_NAME_ROAD_BALOGH_COAL_TRUCK                         :کامیون حمل ذغال سنگ Balogh
STR_VEHICLE_NAME_ROAD_UHL_COAL_TRUCK                            :کامیون حمل ذغال سنگ Uhl
STR_VEHICLE_NAME_ROAD_DW_COAL_TRUCK                             :کامیون حمل ذغال سنگ DW
STR_VEHICLE_NAME_ROAD_MPS_MAIL_TRUCK                            :کامیون حمل نامه MPS
STR_VEHICLE_NAME_ROAD_REYNARD_MAIL_TRUCK                        :کامیون حمل نامه Reynard
