##name Bulgarian
##ownname Български
##isocode bg_BG.UTF-8
##plural 0

##id 0x0000
STR_0001_OFF_EDGE_OF_MAP                                        :{WHITE}Извън картата
STR_3057_STATION_NAMES_CLICK_ON                                 :{BLACK}Имена на станции - натиснете върху името за да центрирате главния прозорец върху станцията
STR_3058_SELECT_SIZE_TYPE_OF_AIRPORT                            :{BLACK}Големина/тип на летището
STR_305C_0                                                      :{STATION} {STATIONFEATURES}
STR_305E_RAILROAD_STATION                                       :ЖП гара
STR_305F_AIRCRAFT_HANGAR                                        :Хангар за самолети
STR_3060_AIRPORT                                                :Летище
STR_3061_TRUCK_LOADING_AREA                                     :Товарна гара
STR_3062_BUS_STATION                                            :Автогара
STR_3063_SHIP_DOCK                                              :Корабен док
STR_3064_HIGHLIGHT_COVERAGE_AREA                                :{BLACK}Отбележи зоната от предложеното място
STR_3065_DON_T_HIGHLIGHT_COVERAGE                               :{BLACK}Не отбелязвай зоната от предложеното място
STR_3066_COVERAGE_AREA_HIGHLIGHT                                :{BLACK}Маркиране на Отбелязаната зона
STR_3068_DOCK                                                   :{WHITE}Док
STR_3069_BUOY                                                   :Шамандура
STR_306A_BUOY_IN_THE_WAY                                        :{WHITE}...шамандура на пътя
STR_306C_STATION_TOO_SPREAD_OUT                                 :{WHITE}...станцията е прекалено разпръсната
STR_306D_NONUNIFORM_STATIONS_DISALLOWED                         :{WHITE}...неправилните станции са изключени
STR_USE_CTRL_TO_SELECT_MORE                                     :{BLACK}Задържете CTRL за да изберете повече от един обект


##id 0x3800
STR_3800_SHIP_DEPOT_ORIENTATION                                 :{WHITE}Ориентация на дока
STR_3801_MUST_BE_BUILT_ON_WATER                                 :{WHITE}...трябва да се построи във вода
STR_3802_CAN_T_BUILD_SHIP_DEPOT                                 :{WHITE}Дока не може да бъде построен тук...
STR_3803_SELECT_SHIP_DEPOT_ORIENTATION                          :{BLACK}Избор на ориентация на док
STR_3804_WATER                                                  :Вода
STR_3805_COAST_OR_RIVERBANK                                     :Бряг или поречие
STR_3806_SHIP_DEPOT                                             :Корабно депо
STR_3807_CAN_T_BUILD_ON_WATER                                   :{WHITE}...Не може да бъде построено във водата

##id 0x4000
STR_4000_SAVE_GAME                                              :{WHITE}Запази играта
STR_4001_LOAD_GAME                                              :{WHITE}Отвори игра
STR_4002_SAVE                                                   :{BLACK}Запази
STR_4003_DELETE                                                 :{BLACK}Изтрий
STR_4004                                                        :{COMPANY}, {DATE_LONG}
STR_4005_BYTES_FREE                                             :{BLACK}{COMMA} мегабайт{P "" а} свободно
STR_4006_UNABLE_TO_READ_DRIVE                                   :{BLACK}Не може да прочете диска
STR_4007_GAME_SAVE_FAILED                                       :{WHITE}Запазването на играта е неуспешно
STR_4008_UNABLE_TO_DELETE_FILE                                  :{WHITE}Изтриването на файла е неуспешно
STR_4009_GAME_LOAD_FAILED                                       :{WHITE}Отварянето на играта е неуспешно
STR_400A_LIST_OF_DRIVES_DIRECTORIES                             :{BLACK}Списък с хард-дисковете, директориите и запазените игри
STR_400B_CURRENTLY_SELECTED_NAME                                :{BLACK}Избрано име за запазена игра
STR_400C_DELETE_THE_CURRENTLY_SELECTED                          :{BLACK}Изтрий избраната запазената игра
STR_400D_SAVE_THE_CURRENT_GAME_USING                            :{BLACK}Запазване на настоящата игра с избраното име
STR_400E_SELECT_NEW_GAME_TYPE                                   :{WHITE}Избери нов тип игра
STR_400F_SELECT_SCENARIO_GREEN_PRE                              :{BLACK}Избери на сценарии (зелено), предварително настроена игра (синьо), или произволна нова игра
STR_4010_GENERATE_RANDOM_NEW_GAME                               :Генерирай произволна нова игра

##id 0x4800
STR_4800_IN_THE_WAY                                             :{WHITE}{STRING} пречи
STR_4801                                                        :{WHITE}{INDUSTRY}
STR_4802_COAL_MINE                                              :Мина за въглища
STR_4803_POWER_STATION                                          :Електроцентрала
STR_4804_SAWMILL                                                :Дъскорезница
STR_4805_FOREST                                                 :Гора
STR_4806_OIL_REFINERY                                           :Нефтена рафинерия
STR_4807_OIL_RIG                                                :Нефтен кладенец
STR_4808_FACTORY                                                :Завод
STR_4809_PRINTING_WORKS                                         :Печатница
STR_480A_STEEL_MILL                                             :Стоманолеярна
STR_480B_FARM                                                   :Ферма
STR_480C_COPPER_ORE_MINE                                        :Медна мина
STR_480D_OIL_WELLS                                              :Нефтени кладенци
STR_480E_BANK                                                   :Банка
STR_480F_FOOD_PROCESSING_PLANT                                  :Завод за обработка на храни
STR_4810_PAPER_MILL                                             :Завод за Хартия
STR_4811_GOLD_MINE                                              :Златна мина
STR_4812_BANK                                                   :Банка
STR_4813_DIAMOND_MINE                                           :Диамантена мина
STR_4814_IRON_ORE_MINE                                          :Желязна мина
STR_4815_FRUIT_PLANTATION                                       :Офощна градина
STR_4816_RUBBER_PLANTATION                                      :Каучукова плантация
STR_4817_WATER_SUPPLY                                           :Водоизточник
STR_4818_WATER_TOWER                                            :Водна кула
STR_4819_FACTORY                                                :Завод
STR_481A_FARM                                                   :Ферма
STR_481B_LUMBER_MILL                                            :Дърворезница
STR_481C_COTTON_CANDY_FOREST                                    :Гора от захарен памук
STR_481D_CANDY_FACTORY                                          :Завод за сладки
STR_481E_BATTERY_FARM                                           :Ферма за батерии
STR_481F_COLA_WELLS                                             :Кола кладенци
STR_4820_TOY_SHOP                                               :Магазин за играчки
STR_4821_TOY_FACTORY                                            :Завод за играчки
STR_4822_PLASTIC_FOUNTAINS                                      :Фонатани от пластмаса
STR_4823_FIZZY_DRINK_FACTORY                                    :Завод за газирани напитки
STR_4824_BUBBLE_GENERATOR                                       :Генератор на балончета
STR_4825_TOFFEE_QUARRY                                          :Карамелоломна
STR_4826_SUGAR_MINE                                             :Захарна мина

############ range for requires	starts
STR_4827_REQUIRES                                               :{BLACK}Нуждае се от: {YELLOW}{STRING}
STR_4828_REQUIRES                                               :{BLACK}Нуждае се от: {YELLOW}{STRING}, {STRING}
STR_4829_REQUIRES                                               :{BLACK}Нуждае се от: {YELLOW}{STRING}, {STRING}, {STRING}
############ range for requires	ends

STR_482A_PRODUCTION_LAST_MONTH                                  :{BLACK}Произведено миналия месец:
STR_482B_TRANSPORTED                                            :{YELLOW}{STRING}{BLACK} ({COMMA}% транспортирано)
STR_482C_CENTER_THE_MAIN_VIEW_ON                                :{BLACK}Центриране главния прозорец върху индустрията
STR_482D_NEW_UNDER_CONSTRUCTION                                 :{BLACK}{BIGFONT}Нова {STRING} се строи близо до {TOWN}!
STR_482E_NEW_BEING_PLANTED_NEAR                                 :{BLACK}{BIGFONT}Нова {STRING} се засажда близо до {TOWN}!
STR_482F_COST                                                   :{BLACK}Цена: {YELLOW}{CURRENCY}
STR_4830_CAN_T_CONSTRUCT_THIS_INDUSTRY                          :{WHITE}Този вид индустия не може да бъде построена тук...
STR_4831_FOREST_CAN_ONLY_BE_PLANTED                             :{WHITE}...гора може да се засажда само над линията на снега
STR_4832_ANNOUNCES_IMMINENT_CLOSURE                             :{BLACK}{BIGFONT}{INDUSTRY} обяви незабавно закриване!
STR_4833_SUPPLY_PROBLEMS_CAUSE_TO                               :{BLACK}{BIGFONT}Проблеми с доставките предизвикаха незабавно закриване на {INDUSTRY}!
STR_4834_LACK_OF_NEARBY_TREES_CAUSES                            :{BLACK}{BIGFONT}Липса на дървета предизвикаха незабавно закриване на {INDUSTRY}!
STR_4835_INCREASES_PRODUCTION                                   :{BLACK}{BIGFONT}{INDUSTRY} увеличава прозводството!
STR_4836_NEW_COAL_SEAM_FOUND_AT                                 :{BLACK}{BIGFONT}Нови залежи на въглища са намерени в {INDUSTRY}!{}Очаква се производството  да се удвои!
STR_4837_NEW_OIL_RESERVES_FOUND                                 :{BLACK}{BIGFONT}Нови залежи на Нефт са намерени в {INDUSTRY}!{}Очаква се производстото да се удвои!
STR_4838_IMPROVED_FARMING_METHODS                               :{BLACK}{BIGFONT}Иноваторските селскостопански технологии в {INDUSTRY} се очаква да удвоят производството!
STR_4839_PRODUCTION_DOWN_BY_50                                  :{BLACK}{BIGFONT}Прозиводството в {INDUSTRY} спадна с 50%
STR_483A_INSECT_INFESTATION_CAUSES                              :{BLACK}{BIGFONT}Напаст от насекоми предизвика опустошение в {INDUSTRY}!{}Производството намаля с 50%
STR_483B_CAN_ONLY_BE_POSITIONED                                 :{WHITE}...може да бъде поставено само до краищата на картата

##id 0x5000
STR_5000_TRAIN_IN_TUNNEL                                        :{WHITE}Влак в тунела
STR_5001_ROAD_VEHICLE_IN_TUNNEL                                 :{WHITE}МПС в тунела
STR_5003_ANOTHER_TUNNEL_IN_THE_WAY                              :{WHITE}Друг тунел пречи
STR_5005_UNABLE_TO_EXCAVATE_LAND                                :{WHITE}Не може да бъде изкопан другия край на тунела
STR_5006_MUST_DEMOLISH_TUNNEL_FIRST                             :{WHITE}Първо разрушете тунела
STR_5007_MUST_DEMOLISH_BRIDGE_FIRST                             :{WHITE}Първо трябва да разрушите моста
STR_5008_CANNOT_START_AND_END_ON                                :{WHITE}Не може да започва и да свърша на едно и също място
STR_5009_LEVEL_LAND_OR_WATER_REQUIRED                           :{WHITE}Равна земя или вода е необходима под моста
STR_500A_START_AND_END_MUST_BE_IN                               :{WHITE}Началото и краят трябва да са на една линия
STR_500B_SITE_UNSUITABLE_FOR_TUNNEL                             :{WHITE}Мястото е неподходящо за вход на тунел
STR_500D                                                        :{GOLD}{STRING},{} {VELOCITY} {WHITE}{CURRENCY}
STR_500E_SUSPENSION_STEEL                                       :Висящ, Стоманен
STR_500F_GIRDER_STEEL                                           :Гредоред, Стоманен
STR_5010_CANTILEVER_STEEL                                       :Конзолен, Стомана
STR_5011_SUSPENSION_CONCRETE                                    :Висящ, Бетонен
STR_5012_WOODEN                                                 :Дървен
STR_5013_CONCRETE                                               :Бетонен
STR_5014_TUBULAR_STEEL                                          :Тръбен, Стоманен
STR_BRIDGE_TUBULAR_SILICON                                      :Тръбен, Силиконов
STR_5015_CAN_T_BUILD_BRIDGE_HERE                                :{WHITE}Не може да бъде построен мост тук...
STR_5016_CAN_T_BUILD_TUNNEL_HERE                                :{WHITE}Не може да бъде построен тунел тук...
STR_5017_RAILROAD_TUNNEL                                        :ЖП тунел
STR_5018_ROAD_TUNNEL                                            :Пътен тунел
STR_501B_STEEL_SUSPENSION_RAIL_BRIDGE                           :Стоманен висящ ЖП мост
STR_501C_STEEL_GIRDER_RAIL_BRIDGE                               :Стоманен гредореден ЖП мост
STR_501D_STEEL_CANTILEVER_RAIL_BRIDGE                           :Стоманен конзолен ЖП мост
STR_501E_REINFORCED_CONCRETE_SUSPENSION                         :Железобетонен висящ ЖП мост
STR_501F_WOODEN_RAIL_BRIDGE                                     :Дървен ЖП мост
STR_5020_CONCRETE_RAIL_BRIDGE                                   :Бетонен ЖП мост
STR_5021_STEEL_SUSPENSION_ROAD_BRIDGE                           :Стоманен висящ пътен мост
STR_5022_STEEL_GIRDER_ROAD_BRIDGE                               :Стоманен гредореден пътен мост
STR_5023_STEEL_CANTILEVER_ROAD_BRIDGE                           :Стоманен конзолен пътен мост
STR_5024_REINFORCED_CONCRETE_SUSPENSION                         :Железобетонен висящ пътен мост
STR_5025_WOODEN_ROAD_BRIDGE                                     :Дървен пътен мост
STR_5026_CONCRETE_ROAD_BRIDGE                                   :Бетонен пътен мост
STR_5027_TUBULAR_RAIL_BRIDGE                                    :Тръбовиден ЖП мост
STR_5028_TUBULAR_ROAD_BRIDGE                                    :Тръбовиден пътен мост

##id 0x5800
STR_5800_OBJECT_IN_THE_WAY                                      :{WHITE}Обект на пътя
STR_5801_TRANSMITTER                                            :Предавател
STR_5802_LIGHTHOUSE                                             :Фар
STR_5803_COMPANY_HEADQUARTERS                                   :Централен офис
STR_5804_COMPANY_HEADQUARTERS_IN                                :{WHITE}...централен офис е на пътя
STR_5805_COMPANY_OWNED_LAND                                     :Земя, притежавана от компанията
STR_5806_CAN_T_PURCHASE_THIS_LAND                               :{WHITE}Земята не може да бъде закупена...
STR_5807_YOU_ALREADY_OWN_IT                                     :{WHITE}...вие вече притежавате това!


############ WARNING, using	range 0x6000 for strings that are stored in	the	savegame
############ These strings may never get a new id, or savegames	will break!
##id 0x6000
STR_SV_UNNAMED                                                  :Неименован


############ end of	savegame specific region!

##id 0x6800
STR_6800_DIFFICULTY_LEVEL                                       :{WHITE}Ниво на трудност

############ range for difficulty levels starts
STR_6801_EASY                                                   :{BLACK}Лесно
STR_6802_MEDIUM                                                 :{BLACK}Средно
STR_6803_HARD                                                   :{BLACK}Трудно
STR_6804_CUSTOM                                                 :{BLACK}По ваш избор
############ range for difficulty levels ends

############ range for difficulty settings starts
STR_6805_MAXIMUM_NO_COMPETITORS                                 :{LTBLUE}Максимален брой конкуренти: {ORANGE}{COMMA}
STR_6806_COMPETITOR_START_TIME                                  :{LTBLUE}Конкурентите стартират: {ORANGE}{STRING}
STR_6807_NO_OF_TOWNS                                            :{LTBLUE}Брой на градовете: {ORANGE}{STRING}
STR_6808_NO_OF_INDUSTRIES                                       :{LTBLUE}Брой на индустриите: {ORANGE}{STRING}
STR_6809_MAXIMUM_INITIAL_LOAN_000                               :{LTBLUE}Максимален начален заем: {ORANGE}{CURRENCY}
STR_680A_INITIAL_INTEREST_RATE                                  :{LTBLUE}Начална лихва: {ORANGE}{COMMA}%
STR_680B_VEHICLE_RUNNING_COSTS                                  :{LTBLUE}Оперативни разходи на превозните средства: {ORANGE}{STRING}
STR_680C_CONSTRUCTION_SPEED_OF_COMPETITOR                       :{LTBLUE}Скорост на строене на конкурентите: {ORANGE}{STRING}
STR_680D_INTELLIGENCE_OF_COMPETITORS                            :{LTBLUE}Интелигентност на конкурентите: {ORANGE}{STRING}
STR_680E_VEHICLE_BREAKDOWNS                                     :{LTBLUE}Повреди на превозното средство: {ORANGE}{STRING}
STR_680F_SUBSIDY_MULTIPLIER                                     :{LTBLUE}Множител на субсидиите: {ORANGE}{STRING}
STR_6810_COST_OF_CONSTRUCTION                                   :{LTBLUE}Цена на строителството: {ORANGE}{STRING}
STR_6811_TERRAIN_TYPE                                           :{LTBLUE}Тип на терена: {ORANGE}{STRING}
STR_6812_QUANTITY_OF_SEA_LAKES                                  :{LTBLUE}Съотношение морета/езера: {ORANGE}{STRING}
STR_6813_ECONOMY                                                :{LTBLUE}Икономика: {ORANGE}{STRING}
STR_6814_TRAIN_REVERSING                                        :{LTBLUE}Обръщане на влаковете: {ORANGE}{STRING}
STR_6815_DISASTERS                                              :{LTBLUE}Бедствия: {ORANGE}{STRING}
STR_16816_CITY_APPROVAL                                         :{LTBLUE}Отношение на градските власти към промяна на земята: {ORANGE}{STRING}
############ range for difficulty settings ends

STR_26816_NONE                                                  :Николко
STR_6816_LOW                                                    :Ниско/Малко
STR_6817_NORMAL                                                 :Нормално
STR_6818_HIGH                                                   :Високо/Много
STR_6819                                                        :{BLACK}<
STR_681A                                                        :{BLACK}>
STR_681B_VERY_SLOW                                              :Много бавно
STR_681C_SLOW                                                   :Бавно
STR_681D_MEDIUM                                                 :Средно
STR_681E_FAST                                                   :Бързо
STR_681F_VERY_FAST                                              :Много бързо
STR_VERY_LOW                                                    :Много нисък
STR_6820_LOW                                                    :Ниска/Малка
STR_6821_MEDIUM                                                 :Средна
STR_6822_HIGH                                                   :Висока/Голяма
STR_6823_NONE                                                   :Без
STR_6824_REDUCED                                                :Намалени
STR_6825_NORMAL                                                 :Нормални
STR_6826_X1_5                                                   :x1.5
STR_6827_X2                                                     :x2
STR_6828_X3                                                     :x3
STR_6829_X4                                                     :x4
STR_682A_VERY_FLAT                                              :Изключително равнинен
STR_682B_FLAT                                                   :Равнинен
STR_682C_HILLY                                                  :Хълмист
STR_682D_MOUNTAINOUS                                            :Планински
STR_682E_STEADY                                                 :Стабилна
STR_682F_FLUCTUATING                                            :Променлива
STR_6830_IMMEDIATE                                              :Веднага
STR_6831_3_MONTHS_AFTER_PLAYER                                  :3 месеца след играча
STR_6832_6_MONTHS_AFTER_PLAYER                                  :6 месеца след играча
STR_6833_9_MONTHS_AFTER_PLAYER                                  :9 месеца след играча
STR_6834_AT_END_OF_LINE_AND_AT_STATIONS                         :В края на линията и на станциите
STR_6835_AT_END_OF_LINE_ONLY                                    :Само в края на линията
STR_6836_OFF                                                    :Изключено
STR_6837_ON                                                     :Включено
STR_6838_SHOW_HI_SCORE_CHART                                    :{BLACK}Покажи класирането
STR_6839_PERMISSIVE                                             :Разрешаващи
STR_683A_TOLERANT                                               :Толерантни
STR_683B_HOSTILE                                                :Враждебни

##id 0x7000
STR_7000                                                        :
STR_7001                                                        :{WHITE}{COMPANY} {BLACK}{PLAYERNAME}
STR_7002_PLAYER                                                 :(Играч {COMMA})
STR_7004_NEW_FACE                                               :{BLACK}Ново лице
STR_7005_COLOR_SCHEME                                           :{BLACK}Цветова схема
STR_7006_COLOR_SCHEME                                           :{GOLD}Цветова гама:
STR_7007_NEW_COLOR_SCHEME                                       :{WHITE}Нова цветова гама
STR_7008_COMPANY_NAME                                           :{BLACK}Име на Компанията
STR_7009_PRESIDENT_NAME                                         :{BLACK}Име на Управителят
STR_700A_COMPANY_NAME                                           :Име на Компанията
STR_700B_PRESIDENT_S_NAME                                       :Име на Управителя
STR_700C_CAN_T_CHANGE_COMPANY_NAME                              :{WHITE}Не може да промениш името на компанията...
STR_700D_CAN_T_CHANGE_PRESIDENT                                 :{WHITE}Не може да промениш името на управителя...
STR_700E_FINANCES                                               :{WHITE}{COMPANY} Финанси {BLACK}{PLAYERNAME}
STR_700F_EXPENDITURE_INCOME                                     :{WHITE}Разходи/Приходи
STR_7010                                                        :{WHITE}{NUM}
STR_7011_CONSTRUCTION                                           :{GOLD}Строеж
STR_7012_NEW_VEHICLES                                           :{GOLD}Нови МПС-та
STR_7013_TRAIN_RUNNING_COSTS                                    :{GOLD}Оперативни разходи на влака
STR_7014_ROAD_VEH_RUNNING_COSTS                                 :{GOLD}Оперативни разходи на МПС-то
STR_7015_AIRCRAFT_RUNNING_COSTS                                 :{GOLD}Оперативни разходи на самолета
STR_7016_SHIP_RUNNING_COSTS                                     :{GOLD}Оперативни разходи на кораба
STR_7017_PROPERTY_MAINTENANCE                                   :{GOLD}Разходи по поддръжка
STR_7018_TRAIN_INCOME                                           :{GOLD}Приходи от влакове
STR_7019_ROAD_VEHICLES_INCOME                                   :{GOLD}Приходи от МПС-та
STR_701A_AIRCRAFT_INCOME                                        :{GOLD}Приходи от самолети
STR_701B_SHIP_INCOME                                            :{GOLD}Приходи от кораби
STR_701C_LOAN_INTEREST                                          :{GOLD}Лихва по заема
STR_701D_OTHER                                                  :{GOLD}Други
STR_701E                                                        :{BLACK}-{CURRENCY64}
STR_701F                                                        :{BLACK}+{CURRENCY64}
STR_7020_TOTAL                                                  :{WHITE}Всичко:
STR_7021                                                        :{COMPANY}{PLAYERNAME}
STR_7022_INCOME_GRAPH                                           :{WHITE}Графика на приходите
STR_7024                                                        :{COMMA}
STR_7025_OPERATING_PROFIT_GRAPH                                 :{WHITE}Графика на оперативните приходи
STR_7026_BANK_BALANCE                                           :{WHITE}Баланс на банковата сметка
STR_7027_LOAN                                                   :{WHITE}Заем
STR_7028                                                        :{BLACK}{CURRENCY64}
STR_7029_BORROW                                                 :{BLACK}Изтегли {SKIP}{SKIP}{SKIP}{SKIP}{CURRENCY}
STR_702A_REPAY                                                  :{BLACK}Изплати {SKIP}{SKIP}{SKIP}{SKIP}{CURRENCY}
STR_702B_MAXIMUM_PERMITTED_LOAN                                 :{WHITE}...максимално разрешеният размер на заема е {CURRENCY}
STR_702C_CAN_T_BORROW_ANY_MORE_MONEY                            :{WHITE}Не може да изтеглиш повече пари...
STR_702D_LOAN_ALREADY_REPAYED                                   :{WHITE}...няма заем за изплащане
STR_702E_REQUIRED                                               :{WHITE}...{CURRENCY} са необходими
STR_702F_CAN_T_REPAY_LOAN                                       :{WHITE}Не може да изплатиш заема...
STR_7030_SELECT_NEW_FACE_FOR_PRESIDENT                          :{BLACK}Избери друго лице за управителя
STR_7031_CHANGE_THE_COMPANY_VEHICLE                             :{BLACK}Смени цвета на компанията
STR_7032_CHANGE_THE_PRESIDENT_S                                 :{BLACK}Смени името на управителя
STR_7033_CHANGE_THE_COMPANY_NAME                                :{BLACK}Смени името на компанията
STR_7034_CLICK_ON_SELECTED_NEW_COLOR                            :{BLACK}Кликни върху предпочитания цвят
STR_7035_INCREASE_SIZE_OF_LOAN                                  :{BLACK}Увеличи размера на заема
STR_7036_REPAY_PART_OF_LOAN                                     :{BLACK}Изплати част от заема
STR_7037_PRESIDENT                                              :{WHITE}{PLAYERNAME}{}{GOLD}(Управител)
STR_7038_INAUGURATED                                            :{GOLD}Открита: {WHITE}{NUM}
STR_7039_VEHICLES                                               :{GOLD}МПС-та:
STR_AIRCRAFT                                                    :{WHITE}{COMMA} самолет
STR_7042_NONE                                                   :{WHITE}Николко
STR_7043_FACE_SELECTION                                         :{WHITE}Избор на лице
STR_7044_MALE                                                   :{BLACK}Мъж
STR_7045_FEMALE                                                 :{BLACK}Жена
STR_7046_NEW_FACE                                               :{BLACK}Ново лице
STR_7047_CANCEL_NEW_FACE_SELECTION                              :{BLACK}Преустанови избора на ново лице
STR_7048_ACCEPT_NEW_FACE_SELECTION                              :{BLACK}Признавам избора на ново лице
STR_7049_SELECT_MALE_FACES                                      :{BLACK}Избери мъжки лица
STR_704A_SELECT_FEMALE_FACES                                    :{BLACK}Избери женски лица
STR_704B_GENERATE_RANDOM_NEW_FACE                               :{BLACK}Генерирай произволно ново лице
STR_704C_KEY                                                    :{BLACK}Легенда
STR_704D_SHOW_KEY_TO_GRAPHS                                     :{BLACK}Покажи легендата на графиката
STR_704E_KEY_TO_COMPANY_GRAPHS                                  :{WHITE}Легенда на графиката за компаниите
STR_704F_CLICK_HERE_TO_TOGGLE_COMPANY                           :{BLACK}Кликни тук, за да активираш появяването/скриването на компанията от графиката
STR_7050_UNITS_OF_CARGO_DELIVERED                               :{WHITE}Брой на доставените стоки
STR_7051_COMPANY_PERFORMANCE_RATINGS                            :{WHITE}Райтинг на представянето на компанията (максимален рейтинг=1000)
STR_7052_COMPANY_VALUES                                         :{WHITE}Стойност на Компанията
STR_7053_COMPANY_LEAGUE_TABLE                                   :{WHITE}Класиране на Компаниите
STR_7054                                                        :{WHITE}{STRING}{SETX 45}{ORANGE}{COMPANY} {BLACK}{PLAYERNAME} '{STRING}'
STR_7055                                                        :{YELLOW}{STRING}{SETX 45}{ORANGE}{COMPANY} {BLACK}{PLAYERNAME}  '{STRING}'
STR_7056_TRANSPORT_COMPANY_IN_TROUBLE                           :{BLACK}{BIGFONT}Транспортна компания в беда!
STR_7057_WILL_BE_SOLD_OFF_OR_DECLARED                           :{BLACK}{BIGFONT}{COMPANY} ще бъде продадена или обявена в банкрут освен ако представянето й не се подобри скоро!
STR_7058_PRESIDENT                                              :{BLACK}{PLAYERNAME}{}(Manager)
STR_7059_TRANSPORT_COMPANY_MERGER                               :{BLACK}{BIGFONT}Сливане на транспортни компании!
STR_705A_HAS_BEEN_SOLD_TO_FOR                                   :{BLACK}{BIGFONT}{COMPANY} беше продадена на {COMPANY} for {CURRENCY}!
STR_705B_WE_ARE_LOOKING_FOR_A_TRANSPORT                         :{WHITE}Ние търсим транспортна компания, която да поеме нашата компания.{}{}Do you want to purchase {COMPANY} for {CURRENCY}?
STR_705C_BANKRUPT                                               :{BLACK}{BIGFONT}Банкрут!
STR_705D_HAS_BEEN_CLOSED_DOWN_BY                                :{BLACK}{BIGFONT}{COMPANY} беше закрита от кредиторите и цялото й имущество бе продадено!
STR_705E_NEW_TRANSPORT_COMPANY_LAUNCHED                         :{BLACK}{BIGFONT}Нова транспортна компания стартира!
STR_705F_STARTS_CONSTRUCTION_NEAR                               :{BLACK}{BIGFONT}{COMPANY} започна строителство край {TOWN}!
STR_7060_CAN_T_BUY_COMPANY                                      :{WHITE}Не може да купиш компанията...
STR_7061_CARGO_PAYMENT_RATES                                    :{WHITE}Заплащане за превоз на товар
STR_7062_DAYS_IN_TRANSIT                                        :{BLACK}{TINYFONT}Дни на превоз
STR_7063_PAYMENT_FOR_DELIVERING                                 :{BLACK}{TINYFONT}Заплащане на доставени 10 единици (или 10,000 литра) товар на разстояние 20 квадрата
STR_7064_TOGGLE_GRAPH_FOR_CARGO                                 :{BLACK}Активирай/деактивирай графиката за видовете товар
STR_7065                                                        :{BLACK}{TINYFONT}{STRING}
STR_7066_ENGINEER                                               :Инженер
STR_7067_TRAFFIC_MANAGER                                        :Ръководител на Трафика
STR_7068_TRANSPORT_COORDINATOR                                  :Транспортен Координатор
STR_7069_ROUTE_SUPERVISOR                                       :Маршрутен Надзирател
STR_706A_DIRECTOR                                               :Директор
STR_706B_CHIEF_EXECUTIVE                                        :Шеф
STR_706C_CHAIRMAN                                               :Председател
STR_706D_PRESIDENT                                              :Пресидент
STR_706E_TYCOON                                                 :Магнат
STR_706F_BUILD_HQ                                               :{BLACK}Построй Централен Офис
STR_7070_BUILD_COMPANY_HEADQUARTERS                             :{BLACK}Построй централен офис на компанията / покажи централния офис на компанията
STR_7071_CAN_T_BUILD_COMPANY_HEADQUARTERS                       :{WHITE}Не може на построиш централен офис...
STR_7072_VIEW_HQ                                                :{BLACK}Покажи Централния Офис
STR_COMPANY_PASSWORD                                            :{BLACK}Парола
STR_COMPANY_PASSWORD_TOOLTIP                                    :{BLACK}Постави парола за да предпазиш компанията си от неоторизирани потребители.
STR_7073_WORLD_RECESSION_FINANCIAL                              :{BIGFONT}{BLACK}Световна икономическа криза!{}{}Финансовите експерти очакват най-лошото от сриващата се световна икономика!
STR_7074_RECESSION_OVER_UPTURN_IN                               :{BIGFONT}{BLACK}Световната икономическа криза отмина!{}{}Възходът на търговията дава увереност на индустриите в новата засилваща се икономическа реалност!
STR_7075_TOGGLE_LARGE_SMALL_WINDOW                              :{BLACK}Активирай голям/малък размер на прозореца
STR_7076_COMPANY_VALUE                                          :{GOLD}Стойност на Компанията: {WHITE}{CURRENCY64}
STR_7077_BUY_25_SHARE_IN_COMPANY                                :{BLACK}Купи 25% от акциите на компанията
STR_7078_SELL_25_SHARE_IN_COMPANY                               :{BLACK}Продай 25% от акциите на компанията
STR_7079_BUY_25_SHARE_IN_THIS_COMPANY                           :{BLACK}Купи 25% от акциите на тази компания
STR_707A_SELL_25_SHARE_IN_THIS_COMPANY                          :{BLACK}Продай 25% от акциите на тази компания
STR_707B_CAN_T_BUY_25_SHARE_IN_THIS                             :{WHITE}Не може да купиш 25% от акциите на тази компания...
STR_707C_CAN_T_SELL_25_SHARE_IN                                 :{WHITE}Не може да продадеш 25% от акциите на тази компания...
STR_707D_OWNED_BY                                               :{WHITE}({COMMA}% е притежание на {COMPANY})
STR_707E_OWNED_BY_OWNED_BY                                      :{WHITE}({COMMA}% е притежание на {COMPANY}{}   {COMMA}% е притежание на {COMPANY})
STR_707F_HAS_BEEN_TAKEN_OVER_BY                                 :{BLACK}{BIGFONT}{COMPANY} бе закупена от {COMPANY}!
STR_7080_PROTECTED                                              :{WHITE}Тази компания все още не е достатъчно стара да предлага акции...



##id 0x8000
STR_8000_KIRBY_PAUL_TANK_STEAM                                  :Kirby Paul Цистерна (Парен)
STR_8001_MJS_250_DIESEL                                         :MJS 250 (Дизелов)
STR_8002_PLODDYPHUT_CHOO_CHOO                                   :Упоритият Choo-Choo
STR_8003_POWERNAUT_CHOO_CHOO                                    :Силният Choo-Choo
STR_8004_MIGHTYMOVER_CHOO_CHOO                                  :Мощнодвигателния Choo-Choo
STR_8005_PLODDYPHUT_DIESEL                                      :Упоритият Дизелов
STR_8006_POWERNAUT_DIESEL                                       :Силният Дизелов
STR_8007_WILLS_2_8_0_STEAM                                      :Непоколебимият 2-8-0 (парен)
